Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17PS@144;Agent17PS@145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.040;57;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu3@146;Agent17PS@147;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17Mu2@148;Agent17PS@149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.040;57;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17Mu@150;Agent17PS@151;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.039;56;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17X@152;Agent17PS@153;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.035;56;;60rounds;Yes;No;2;0.65835;0.94018;0.05982;0.12700;1.59853;BoulwareNegotiationParty@154;Agent17Mu3@155;0.658352423925588;0.9401787899486579;0.658352423925588;0.9401787899486579;0.6410586701005507;0.8372831149781946;0.0;0.0;0.658352423925588;0.9401787899486579;party1_utility.xml;party2_utility.xml
0.037;56;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;AgreeableAgent2018@156;Agent17Mu3@157;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.041;56;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17XNoStop@158;Agent17Mu3@159;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.213;54;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17Submit@160;Agent17Mu3@161;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.538965221320534;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.038;56;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17PS3@162;Agent17Mu3@163;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
